Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
19/06/2026,09:00:00,ELECTRO DEPOT,2,2,0,659,330,"100,00%"
19/06/2026,09:00:00,MOBALPA,7,7,0,3465,495,"100,00%"
19/06/2026,09:00:00,SFG SERVICES - PLANIFICATION,1,1,0,315,315,"100,00%"
19/06/2026,09:00:00,SYSTEME U,3,3,0,1022,341,"100,00%"
19/06/2026,09:15:00,MOBALPA,2,2,0,1089,545,"100,00%"
19/06/2026,09:15:00,MRH BPCE,1,1,0,276,276,"100,00%"
19/06/2026,09:15:00,SFG SERVICES - PLANIFICATION,2,1,1,110,55,"50,00%"
19/06/2026,09:15:00,SYSTEME U,2,2,0,338,169,"100,00%"
19/06/2026,09:30:00,ELECTRO DEPOT,1,1,0,682,682,"100,00%"
19/06/2026,09:30:00,MOBALPA,9,9,0,5001,556,"100,00%"
19/06/2026,09:30:00,MRH BPCE,2,2,0,652,326,"100,00%"
19/06/2026,09:30:00,SFG SERVICES - PLANIFICATION,1,1,0,148,148,"100,00%"
19/06/2026,09:30:00,SYSTEME U,4,4,0,1104,276,"100,00%"
19/06/2026,09:45:00,MOBALPA,3,3,0,508,169,"100,00%"
19/06/2026,09:45:00,MRH BPCE,1,1,0,783,783,"100,00%"
19/06/2026,09:45:00,MRH MACIF,1,1,0,372,372,"100,00%"
19/06/2026,09:45:00,SFG SERVICES - PLANIFICATION,1,1,0,234,234,"100,00%"
19/06/2026,09:45:00,SYSTEME U,3,3,0,960,320,"100,00%"
19/06/2026,10:00:00,ELECTRO DEPOT,1,1,0,148,148,"100,00%"
19/06/2026,10:00:00,MOBALPA,3,3,0,932,311,"100,00%"
19/06/2026,10:00:00,Pôle Fa - ELICA,2,2,0,668,334,"100,00%"
19/06/2026,10:00:00,Pôle FA - MIDEA,6,6,0,1986,331,"100,00%"
19/06/2026,10:00:00,SFG SERVICES - PLANIFICATION,1,1,0,146,146,"100,00%"
19/06/2026,10:00:00,SYSTEME U,3,3,0,975,325,"100,00%"
19/06/2026,10:15:00,ELECTRO DEPOT,3,3,0,2302,767,"100,00%"
19/06/2026,10:15:00,MOBALPA,7,7,0,2576,368,"100,00%"
19/06/2026,10:15:00,Pôle FA - CHANGHONG,2,2,0,452,226,"100,00%"
19/06/2026,10:15:00,Pôle FA - MIDEA,1,1,0,349,349,"100,00%"
19/06/2026,10:15:00,SFG SERVICES - PLANIFICATION,1,1,0,109,109,"100,00%"
19/06/2026,10:15:00,SYSTEME U,6,6,0,1602,267,"100,00%"
19/06/2026,10:30:00,ELECTRO DEPOT,3,2,1,1895,632,"66,67%"
19/06/2026,10:30:00,MOBALPA,6,6,0,4197,700,"100,00%"
19/06/2026,10:30:00,MRH MACIF,2,2,0,930,465,"100,00%"
19/06/2026,10:30:00,Pôle Fa - ELICA,1,1,0,511,511,"100,00%"
19/06/2026,10:30:00,Pôle FA - MIDEA,2,2,0,368,184,"100,00%"
19/06/2026,10:30:00,Pôle FA - ROBLIN,1,1,0,259,259,"100,00%"
19/06/2026,10:30:00,Pôle FA - SALM AIRFORCE,1,1,0,278,278,"100,00%"
19/06/2026,10:30:00,SFG SERVICES - PLANIFICATION,2,2,0,264,132,"100,00%"
19/06/2026,10:30:00,SYSTEME U,4,4,0,2692,673,"100,00%"
19/06/2026,10:45:00,ELECTRO DEPOT,1,1,0,746,746,"100,00%"
19/06/2026,10:45:00,MOBALPA,6,6,0,2523,421,"100,00%"
19/06/2026,10:45:00,Pôle Fa - ELICA,8,8,0,4198,525,"100,00%"
19/06/2026,10:45:00,Pôle FA - MIDEA,5,5,0,1649,330,"100,00%"
19/06/2026,10:45:00,Pôle FA - SALM AIRFORCE,1,1,0,589,589,"100,00%"
19/06/2026,10:45:00,SFG SERVICES - PLANIFICATION,1,1,0,398,398,"100,00%"
19/06/2026,10:45:00,SYSTEME U,3,3,0,1277,426,"100,00%"
19/06/2026,11:00:00,ELECTRO DEPOT,1,1,0,463,463,"100,00%"
19/06/2026,11:00:00,MOBALPA,4,4,0,2814,704,"100,00%"
19/06/2026,11:00:00,Pôle Fa - ELICA,1,1,0,1079,1079,"100,00%"
19/06/2026,11:00:00,Pôle FA - ROBLIN,1,1,0,395,395,"100,00%"
19/06/2026,11:00:00,Pôle FA - SALM AIRFORCE,2,2,0,288,144,"100,00%"
19/06/2026,11:00:00,SFG SERVICES - PLANIFICATION,1,1,0,175,175,"100,00%"
19/06/2026,11:00:00,SYSTEME U,4,4,0,1675,419,"100,00%"
19/06/2026,11:15:00,MOBALPA,3,3,0,1774,591,"100,00%"
19/06/2026,11:15:00,MRH BPCE,2,2,0,2883,1442,"100,00%"
19/06/2026,11:15:00,Pôle Fa - ELICA,1,1,0,327,327,"100,00%"
19/06/2026,11:15:00,Pôle FA - MIDEA,2,2,0,512,256,"100,00%"
19/06/2026,11:15:00,Pôle FA - SALM AIRFORCE,2,2,0,1501,751,"100,00%"
19/06/2026,11:15:00,SYSTEME U,7,5,2,3504,501,"71,43%"
19/06/2026,11:30:00,MOBALPA,3,3,0,2398,799,"100,00%"
19/06/2026,11:30:00,Pôle Fa - ELICA,2,2,0,1076,538,"100,00%"
19/06/2026,11:30:00,Pôle FA - MIDEA,1,0,1,27,27,"0,00%"
19/06/2026,11:30:00,Pôle FA - SALM AIRFORCE,3,3,0,1134,378,"100,00%"
19/06/2026,11:30:00,SFG SERVICES - PLANIFICATION,2,2,0,224,112,"100,00%"
19/06/2026,11:30:00,SYSTEME U,2,2,0,873,437,"100,00%"
19/06/2026,11:45:00,ELECTRO DEPOT,2,2,0,677,339,"100,00%"
19/06/2026,11:45:00,MOBALPA,3,3,0,733,244,"100,00%"
19/06/2026,11:45:00,Pôle Fa - ELICA,2,2,0,582,291,"100,00%"
19/06/2026,11:45:00,Pôle FA - MIDEA,1,1,0,277,277,"100,00%"
19/06/2026,11:45:00,SFG SERVICES - PLANIFICATION,2,2,0,430,215,"100,00%"
19/06/2026,11:45:00,SYSTEME U,2,2,0,419,210,"100,00%"
19/06/2026,12:00:00,ELECTRO DEPOT,1,1,0,415,415,"100,00%"
19/06/2026,12:00:00,MOBALPA,2,2,0,914,457,"100,00%"
19/06/2026,12:00:00,Pôle Fa - ELICA,2,2,0,517,259,"100,00%"
19/06/2026,12:00:00,Pôle FA - MIDEA,4,4,0,618,155,"100,00%"
19/06/2026,12:00:00,SFG SERVICES - PLANIFICATION,2,2,0,469,235,"100,00%"
19/06/2026,12:00:00,SYSTEME U,1,1,0,451,451,"100,00%"
19/06/2026,12:15:00,MOBALPA,4,4,0,872,218,"100,00%"
19/06/2026,12:15:00,Pôle FA - MIDEA,1,1,0,665,665,"100,00%"
19/06/2026,12:15:00,SFG SERVICES - PLANIFICATION,1,1,0,157,157,"100,00%"
19/06/2026,12:15:00,SYSTEME U,3,3,0,817,272,"100,00%"
19/06/2026,12:30:00,MOBALPA,1,1,0,472,472,"100,00%"
19/06/2026,12:30:00,MRH BPCE,1,1,0,133,133,"100,00%"
19/06/2026,12:30:00,Pôle Fa - ELICA,1,1,0,404,404,"100,00%"
19/06/2026,12:30:00,Pôle FA - MIDEA,4,4,0,1803,451,"100,00%"
19/06/2026,12:30:00,SFG SERVICES - PLANIFICATION,1,1,0,174,174,"100,00%"
19/06/2026,12:30:00,SYSTEME U,1,1,0,294,294,"100,00%"
19/06/2026,12:45:00,MOBALPA,1,1,0,380,380,"100,00%"
19/06/2026,12:45:00,Pôle Fa - ELICA,1,1,0,627,627,"100,00%"
