Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
22/06/2026,09:00:00,ELECTRO DEPOT,5,5,0,3281,656,"100,00%"
22/06/2026,09:00:00,MOBALPA,5,5,0,3659,732,"100,00%"
22/06/2026,09:00:00,MRH MACIF,2,2,0,1868,934,"100,00%"
22/06/2026,09:00:00,SFG SERVICES - PLANIFICATION,1,1,0,110,110,"100,00%"
22/06/2026,09:00:00,SYSTEME U,11,11,0,2728,248,"100,00%"
22/06/2026,09:15:00,MOBALPA,3,3,0,1907,636,"100,00%"
22/06/2026,09:15:00,MRH MACIF,1,1,0,1037,1037,"100,00%"
22/06/2026,09:15:00,SFG SERVICES - PLANIFICATION,4,4,0,808,202,"100,00%"
22/06/2026,09:15:00,SYSTEME U,6,5,1,1062,177,"83,33%"
22/06/2026,09:30:00,ELECTRO DEPOT,1,1,0,817,817,"100,00%"
22/06/2026,09:30:00,MOBALPA,6,6,0,1556,259,"100,00%"
22/06/2026,09:30:00,MRH BPCE,1,1,0,272,272,"100,00%"
22/06/2026,09:30:00,MRH MACIF,2,2,0,664,332,"100,00%"
22/06/2026,09:30:00,SFG SERVICES - PLANIFICATION,1,1,0,165,165,"100,00%"
22/06/2026,09:30:00,SYSTEME U,13,13,0,4382,337,"100,00%"
22/06/2026,09:45:00,MOBALPA,4,4,0,2286,572,"100,00%"
22/06/2026,09:45:00,MRH BPCE,1,1,0,348,348,"100,00%"
22/06/2026,09:45:00,MRH MACIF,1,1,0,362,362,"100,00%"
22/06/2026,09:45:00,SFG SERVICES - PLANIFICATION,2,2,0,261,131,"100,00%"
22/06/2026,09:45:00,SYSTEME U,6,5,1,2613,436,"83,33%"
22/06/2026,10:00:00,MOBALPA,7,7,0,3442,492,"100,00%"
22/06/2026,10:00:00,MRH MACIF,2,2,0,492,246,"100,00%"
22/06/2026,10:00:00,Pôle Fa - ELICA,1,1,0,617,617,"100,00%"
22/06/2026,10:00:00,Pôle FA - MIDEA,3,3,0,718,239,"100,00%"
22/06/2026,10:00:00,SFG SERVICES - PLANIFICATION,1,1,0,85,85,"100,00%"
22/06/2026,10:00:00,SYSTEME U,7,7,0,2332,333,"100,00%"
22/06/2026,10:15:00,ELECTRO DEPOT,2,2,0,1164,582,"100,00%"
22/06/2026,10:15:00,MOBALPA,3,3,0,1419,473,"100,00%"
22/06/2026,10:15:00,MRH BPCE,1,1,0,328,328,"100,00%"
22/06/2026,10:15:00,MRH MACIF,1,1,0,312,312,"100,00%"
22/06/2026,10:15:00,Pôle Fa - ELICA,1,1,0,227,227,"100,00%"
22/06/2026,10:15:00,Pôle FA - MIDEA,2,2,0,1016,508,"100,00%"
22/06/2026,10:15:00,Pôle FA - ROBLIN,1,1,0,555,555,"100,00%"
22/06/2026,10:15:00,Pôle FA - SALM AIRFORCE,1,1,0,139,139,"100,00%"
22/06/2026,10:15:00,SYSTEME U,5,5,0,1648,330,"100,00%"
22/06/2026,10:30:00,MOBALPA,9,9,0,6249,694,"100,00%"
22/06/2026,10:30:00,MRH BPCE,2,2,0,548,274,"100,00%"
22/06/2026,10:30:00,Pôle Fa - ELICA,3,3,0,949,316,"100,00%"
22/06/2026,10:30:00,Pôle FA - MIDEA,3,3,0,1492,497,"100,00%"
22/06/2026,10:30:00,Pôle FA - ROBLIN,1,1,0,280,280,"100,00%"
22/06/2026,10:30:00,Pôle FA - SALM AIRFORCE,1,1,0,390,390,"100,00%"
22/06/2026,10:30:00,SYSTEME U,6,6,0,1422,237,"100,00%"
22/06/2026,10:45:00,ELECTRO DEPOT,1,1,0,265,265,"100,00%"
22/06/2026,10:45:00,MOBALPA,5,4,1,2922,584,"80,00%"
22/06/2026,10:45:00,Pôle Fa - ELICA,1,1,0,624,624,"100,00%"
22/06/2026,10:45:00,Pôle FA - MIDEA,6,6,0,5230,872,"100,00%"
22/06/2026,10:45:00,Pôle FA - SALM AIRFORCE,1,1,0,178,178,"100,00%"
22/06/2026,10:45:00,SYSTEME U,11,11,0,5004,455,"100,00%"
22/06/2026,11:00:00,ELECTRO DEPOT,1,1,0,486,486,"100,00%"
22/06/2026,11:00:00,MOBALPA,5,5,0,2158,432,"100,00%"
22/06/2026,11:00:00,Pôle Fa - ELICA,1,1,0,299,299,"100,00%"
22/06/2026,11:00:00,Pôle FA - MIDEA,4,4,0,939,235,"100,00%"
22/06/2026,11:00:00,SYSTEME U,5,5,0,1598,320,"100,00%"
22/06/2026,11:15:00,ELECTRO DEPOT,1,1,0,1351,1351,"100,00%"
22/06/2026,11:15:00,MOBALPA,2,2,0,650,325,"100,00%"
22/06/2026,11:15:00,MRH BPCE,1,1,0,39,39,"100,00%"
22/06/2026,11:15:00,Pôle Fa - ELICA,2,2,0,855,428,"100,00%"
22/06/2026,11:15:00,Pôle FA - MIDEA,6,6,0,1795,299,"100,00%"
22/06/2026,11:15:00,SFG SERVICES - PLANIFICATION,1,1,0,218,218,"100,00%"
22/06/2026,11:15:00,SYSTEME U,4,4,0,2117,529,"100,00%"
22/06/2026,11:30:00,ELECTRO DEPOT,1,0,1,66,66,"0,00%"
22/06/2026,11:30:00,MOBALPA,5,5,0,1955,391,"100,00%"
22/06/2026,11:30:00,MRH MACIF,1,1,0,280,280,"100,00%"
22/06/2026,11:30:00,Pôle Fa - ELICA,3,3,0,1510,503,"100,00%"
22/06/2026,11:30:00,Pôle FA - MIDEA,1,1,0,126,126,"100,00%"
22/06/2026,11:30:00,Pôle FA - ROBLIN,1,1,0,338,338,"100,00%"
22/06/2026,11:30:00,Pôle FA - SALM AIRFORCE,2,2,0,433,217,"100,00%"
22/06/2026,11:30:00,SFG SERVICES - PLANIFICATION,4,3,1,361,90,"75,00%"
22/06/2026,11:30:00,SYSTEME U,8,8,0,1850,231,"100,00%"
22/06/2026,11:45:00,ELECTRO DEPOT,4,1,3,2566,642,"25,00%"
22/06/2026,11:45:00,MOBALPA,3,3,0,1014,338,"100,00%"
22/06/2026,11:45:00,MRH BPCE,1,1,0,229,229,"100,00%"
22/06/2026,11:45:00,Pôle Fa - ELICA,7,7,0,1128,161,"100,00%"
22/06/2026,11:45:00,Pôle FA - SALM AIRFORCE,2,2,0,1059,530,"100,00%"
22/06/2026,11:45:00,SFG SERVICES - PLANIFICATION,1,1,0,90,90,"100,00%"
22/06/2026,11:45:00,SYSTEME U,7,7,0,1661,237,"100,00%"
22/06/2026,12:00:00,ELECTRO DEPOT,2,2,0,1998,999,"100,00%"
22/06/2026,12:00:00,MOBALPA,3,3,0,856,285,"100,00%"
22/06/2026,12:00:00,Pôle Fa - ELICA,1,1,0,332,332,"100,00%"
22/06/2026,12:00:00,Pôle FA - MIDEA,2,2,0,209,105,"100,00%"
22/06/2026,12:00:00,Pôle FA - SALM AIRFORCE,3,3,0,133,44,"100,00%"
22/06/2026,12:00:00,SFG SERVICES - PLANIFICATION,1,1,0,92,92,"100,00%"
22/06/2026,12:00:00,SYSTEME U,3,3,0,1051,350,"100,00%"
22/06/2026,12:15:00,Pôle Fa - ELICA,1,1,0,260,260,"100,00%"
