Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
09/04/2026,07:00:00,,3,2,1,200,66.67,"66.67%"
09/04/2026,07:45:00,,2,2,0,650,325.00,"100.00%"
09/04/2026,07:15:00,,3,3,0,167,55.67,"100.00%"
09/04/2026,07:30:00,,5,5,0,234,46.80,"100.00%"
09/04/2026,08:15:00,,4,4,0,218,54.50,"100.00%"
09/04/2026,08:30:00,,5,5,0,1347,269.40,"100.00%"
09/04/2026,08:45:00,,3,3,0,277,92.33,"100.00%"
09/04/2026,08:00:00,,1,1,0,204,204.00,"100.00%"
09/04/2026,09:00:00,,1,1,0,102,102.00,"100.00%"
09/04/2026,09:15:00,,4,3,1,311,77.75,"75.00%"
09/04/2026,10:00:00,,6,6,0,888,148.00,"100.00%"
09/04/2026,09:30:00,,1,1,0,85,85.00,"100.00%"
09/04/2026,10:15:00,,3,3,0,611,203.67,"100.00%"
09/04/2026,10:30:00,,1,1,0,1047,1047.00,"100.00%"
09/04/2026,11:15:00,,1,1,0,837,837.00,"100.00%"
09/04/2026,11:45:00,,1,1,0,49,49.00,"100.00%"
09/04/2026,13:30:00,,5,2,3,529,105.80,"40.00%"
09/04/2026,11:30:00,,1,1,0,636,636.00,"100.00%"
09/04/2026,12:00:00,,1,1,0,42,42.00,"100.00%"
09/04/2026,13:45:00,,2,2,0,422,211.00,"100.00%"
09/04/2026,13:00:00,,2,2,0,145,72.50,"100.00%"
09/04/2026,14:15:00,,5,5,0,1244,248.80,"100.00%"
09/04/2026,14:00:00,,2,2,0,464,232.00,"100.00%"
09/04/2026,15:00:00,,2,2,0,206,103.00,"100.00%"
09/04/2026,15:15:00,,1,1,0,33,33.00,"100.00%"
09/04/2026,15:45:00,,2,2,0,126,63.00,"100.00%"
09/04/2026,14:30:00,,1,1,0,397,397.00,"100.00%"
09/04/2026,15:30:00,,1,1,0,510,510.00,"100.00%"
Total pour 09/04/2026,,,69,64,5,11981,173.64,"92,75%"
