Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
07/05/2026,09:00:00,,1,1,0,469,469,"100,00%"
07/05/2026,09:00:00,Pôle FA - CHANGHONG,3,3,0,324,108,"100,00%"
07/05/2026,09:00:00,Pôle Fa - ELICA,3,3,0,153,51,"100,00%"
07/05/2026,09:15:00,,1,1,0,331,331,"100,00%"
07/05/2026,09:15:00,Pôle FA - CHANGHONG,2,2,0,174,87,"100,00%"
07/05/2026,09:15:00,Pôle Fa - ELICA,4,4,0,252,63,"100,00%"
07/05/2026,09:30:00,,1,1,0,1626,1626,"100,00%"
07/05/2026,09:30:00,Pôle FA - CHANGHONG,2,2,0,143,72,"100,00%"
07/05/2026,09:30:00,Pôle Fa - ELICA,3,2,1,167,56,"66,67%"
07/05/2026,09:45:00,,1,1,0,219,219,"100,00%"
07/05/2026,09:45:00,Pôle Fa - ELICA,4,4,0,300,75,"100,00%"
07/05/2026,10:00:00,Pôle Fa - ELICA,2,2,0,302,151,"100,00%"
07/05/2026,10:30:00,,4,4,0,3184,796,"100,00%"
07/05/2026,10:30:00,Pôle FA - CHANGHONG,2,2,0,527,264,"100,00%"
07/05/2026,10:45:00,Pôle FA - CHANGHONG,1,1,0,61,61,"100,00%"
07/05/2026,11:00:00,,3,3,0,2013,671,"100,00%"
07/05/2026,11:00:00,Pôle Fa - ELICA,1,1,0,58,58,"100,00%"
07/05/2026,11:15:00,,1,1,0,260,260,"100,00%"
07/05/2026,11:15:00,Pôle FA - SALM AIRFORCE,1,1,0,25,25,"100,00%"
07/05/2026,11:30:00,,1,1,0,393,393,"100,00%"
07/05/2026,11:45:00,,1,1,0,136,136,"100,00%"
07/05/2026,11:45:00,Pôle FA - SALM AIRFORCE,2,1,1,113,57,"50,00%"
07/05/2026,12:30:00,,1,1,0,536,536,"100,00%"
07/05/2026,12:45:00,Pôle Fa - ELICA,2,1,1,110,55,"50,00%"
07/05/2026,13:15:00,,1,1,0,520,520,"100,00%"
07/05/2026,14:00:00,,2,2,0,1458,729,"100,00%"
07/05/2026,14:15:00,,3,3,0,1141,380,"100,00%"
07/05/2026,14:45:00,,1,1,0,1410,1410,"100,00%"
07/05/2026,15:00:00,Pôle Fa - ELICA,1,1,0,36,36,"100,00%"
07/05/2026,16:00:00,Pôle FA - CHANGHONG,3,3,0,1096,365,"100,00%"
07/05/2026,16:00:00,Pôle Fa - ELICA,1,1,0,62,62,"100,00%"
07/05/2026,16:15:00,Pôle FA - CHANGHONG,2,1,1,809,405,"50,00%"
07/05/2026,16:15:00,Pôle Fa - ELICA,1,1,0,94,94,"100,00%"
07/05/2026,16:30:00,Pôle Fa - ELICA,2,2,0,41,21,"100,00%"
07/05/2026,16:45:00,Pôle Fa - ELICA,2,2,0,788,394,"100,00%"
07/05/2026,17:15:00,Pôle Fa - ELICA,1,1,0,318,318,"100,00%"
07/05/2026,17:30:00,Pôle Fa - ELICA,1,1,0,65,65,"100,00%"
07/05/2026,18:00:00,,1,1,0,61,61,"100,00%"
07/05/2026,18:00:00,Pôle Fa - ELICA,3,3,0,182,61,"100,00%"
07/05/2026,18:15:00,Pôle Fa - ELICA,1,1,0,43,43,"100,00%"
07/05/2026,18:30:00,Pôle FA - SALM AIRFORCE,1,1,0,98,98,"100,00%"
07/05/2026,18:45:00,Pôle Fa - ELICA,4,4,0,195,49,"100,00%"
07/05/2026,18:45:00,Pôle FA - SALM AIRFORCE,1,1,0,294,294,"100,00%"
Total pour 07/05/2026,,,79,75,4,20587,261,"94,94%"
