Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
28/05/2026,09:00:00,ELECTRO DEPOT,1,1,0,367,367,"100,00%"
28/05/2026,09:00:00,MOBALPA,4,4,0,1791,448,"100,00%"
28/05/2026,09:00:00,SFG SERVICES - PLANIFICATION,3,3,0,419,140,"100,00%"
28/05/2026,09:00:00,SYSTEME U,2,2,0,478,239,"100,00%"
28/05/2026,09:15:00,ELECTRO DEPOT,2,2,0,452,226,"100,00%"
28/05/2026,09:15:00,MOBALPA,1,1,0,87,87,"100,00%"
28/05/2026,09:15:00,SFG SERVICES - PLANIFICATION,1,1,0,102,102,"100,00%"
28/05/2026,09:15:00,SYSTEME U,6,5,1,1197,200,"83,33%"
28/05/2026,09:30:00,MOBALPA,3,3,0,1210,403,"100,00%"
28/05/2026,09:30:00,SFG SERVICES - PLANIFICATION,2,2,0,252,126,"100,00%"
28/05/2026,09:30:00,SYSTEME U,4,4,0,1011,253,"100,00%"
28/05/2026,09:45:00,ELECTRO DEPOT,2,2,0,982,491,"100,00%"
28/05/2026,09:45:00,SYSTEME U,6,6,0,1519,253,"100,00%"
28/05/2026,10:00:00,MOBALPA,1,1,0,1067,1067,"100,00%"
28/05/2026,10:00:00,Pôle Fa - ELICA,2,2,0,1112,556,"100,00%"
28/05/2026,10:00:00,Pôle FA - MIDEA,3,3,0,405,135,"100,00%"
28/05/2026,10:00:00,Pôle FA - SALM AIRFORCE,1,1,0,227,227,"100,00%"
28/05/2026,10:00:00,SFG SERVICES - PLANIFICATION,10,9,1,1800,180,"90,00%"
28/05/2026,10:00:00,SYSTEME U,4,4,0,1538,385,"100,00%"
28/05/2026,10:15:00,ELECTRO DEPOT,2,1,1,781,391,"50,00%"
28/05/2026,10:15:00,MOBALPA,4,4,0,1989,497,"100,00%"
28/05/2026,10:15:00,Pôle Fa - ELICA,2,2,0,250,125,"100,00%"
28/05/2026,10:15:00,Pôle FA - MIDEA,1,1,0,524,524,"100,00%"
28/05/2026,10:15:00,Pôle FA - SALM AIRFORCE,1,1,0,260,260,"100,00%"
28/05/2026,10:15:00,SFG SERVICES - PLANIFICATION,1,1,0,371,371,"100,00%"
28/05/2026,10:15:00,SYSTEME U,7,4,3,1865,266,"57,14%"
28/05/2026,10:30:00,MOBALPA,5,5,0,3037,607,"100,00%"
28/05/2026,10:30:00,Pôle FA - MIDEA,3,3,0,698,233,"100,00%"
28/05/2026,10:30:00,SFG SERVICES - PLANIFICATION,2,2,0,394,197,"100,00%"
28/05/2026,10:30:00,SYSTEME U,6,6,0,1537,256,"100,00%"
28/05/2026,10:45:00,MOBALPA,3,3,0,725,242,"100,00%"
28/05/2026,10:45:00,Pôle Fa - ELICA,1,1,0,108,108,"100,00%"
28/05/2026,10:45:00,Pôle FA - MIDEA,4,4,0,1203,301,"100,00%"
28/05/2026,10:45:00,Pôle FA - SALM AIRFORCE,1,1,0,940,940,"100,00%"
28/05/2026,10:45:00,SFG SERVICES - PLANIFICATION,2,2,0,497,249,"100,00%"
28/05/2026,10:45:00,SYSTEME U,6,6,0,1066,178,"100,00%"
28/05/2026,11:00:00,MOBALPA,7,7,0,1676,239,"100,00%"
28/05/2026,11:00:00,Pôle Fa - ELICA,1,1,0,719,719,"100,00%"
28/05/2026,11:00:00,Pôle FA - SALM AIRFORCE,2,2,0,818,409,"100,00%"
28/05/2026,11:00:00,SYSTEME U,5,5,0,963,193,"100,00%"
28/05/2026,11:15:00,ELECTRO DEPOT,2,1,1,718,359,"50,00%"
28/05/2026,11:15:00,MOBALPA,5,5,0,3205,641,"100,00%"
28/05/2026,11:15:00,Pôle Fa - ELICA,1,1,0,244,244,"100,00%"
28/05/2026,11:15:00,Pôle FA - MIDEA,6,6,0,2012,335,"100,00%"
28/05/2026,11:15:00,Pôle FA - ROBLIN,1,1,0,201,201,"100,00%"
28/05/2026,11:15:00,SFG SERVICES - PLANIFICATION,1,1,0,189,189,"100,00%"
28/05/2026,11:15:00,SYSTEME U,9,8,1,1919,213,"88,89%"
28/05/2026,11:30:00,ELECTRO DEPOT,3,1,2,1117,372,"33,33%"
28/05/2026,11:30:00,MOBALPA,6,6,0,1810,302,"100,00%"
28/05/2026,11:30:00,Pôle Fa - ELICA,3,3,0,924,308,"100,00%"
28/05/2026,11:30:00,Pôle FA - MIDEA,1,1,0,237,237,"100,00%"
28/05/2026,11:30:00,Pôle FA - ROBLIN,2,2,0,595,298,"100,00%"
28/05/2026,11:30:00,Pôle FA - SALM AIRFORCE,1,1,0,552,552,"100,00%"
28/05/2026,11:30:00,SFG SERVICES - PLANIFICATION,2,2,0,506,253,"100,00%"
28/05/2026,11:30:00,SYSTEME U,3,3,0,1241,414,"100,00%"
28/05/2026,11:45:00,ELECTRO DEPOT,2,0,2,2,1,"0,00%"
28/05/2026,11:45:00,MOBALPA,3,3,0,1354,451,"100,00%"
28/05/2026,11:45:00,Pôle Fa - ELICA,1,1,0,634,634,"100,00%"
28/05/2026,11:45:00,Pôle FA - MIDEA,5,3,2,3215,643,"60,00%"
28/05/2026,11:45:00,Pôle FA - SALM AIRFORCE,1,1,0,1014,1014,"100,00%"
28/05/2026,11:45:00,SYSTEME U,5,5,0,1049,210,"100,00%"
28/05/2026,12:00:00,ELECTRO DEPOT,1,1,0,552,552,"100,00%"
28/05/2026,12:00:00,MOBALPA,4,4,0,1335,334,"100,00%"
