Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
04/06/2026,09:00:00,MOBALPA,4,4,0,1761,440,"100,00%"
04/06/2026,09:00:00,SFG SERVICES - PLANIFICATION,3,3,0,666,222,"100,00%"
04/06/2026,09:00:00,SYSTEME U,5,5,0,1514,303,"100,00%"
04/06/2026,09:15:00,MOBALPA,2,2,0,1352,676,"100,00%"
04/06/2026,09:15:00,SFG SERVICES - PLANIFICATION,2,2,0,321,161,"100,00%"
04/06/2026,09:15:00,SYSTEME U,4,4,0,1929,482,"100,00%"
04/06/2026,09:30:00,ELECTRO DEPOT,1,1,0,69,69,"100,00%"
04/06/2026,09:30:00,MOBALPA,10,10,0,6941,694,"100,00%"
04/06/2026,09:30:00,SFG SERVICES - PLANIFICATION,1,1,0,187,187,"100,00%"
04/06/2026,09:30:00,SYSTEME U,8,8,0,3349,419,"100,00%"
04/06/2026,09:45:00,SFG SERVICES - PLANIFICATION,1,1,0,306,306,"100,00%"
04/06/2026,09:45:00,SYSTEME U,3,3,0,1028,343,"100,00%"
04/06/2026,10:00:00,MOBALPA,1,1,0,180,180,"100,00%"
04/06/2026,10:00:00,Pôle Fa - ELICA,4,4,0,1251,313,"100,00%"
04/06/2026,10:00:00,Pôle FA - MIDEA,4,3,1,2068,517,"75,00%"
04/06/2026,10:00:00,Pôle FA - ROBLIN,1,1,0,362,362,"100,00%"
04/06/2026,10:00:00,SYSTEME U,3,3,0,1157,386,"100,00%"
04/06/2026,10:15:00,ELECTRO DEPOT,2,2,0,810,405,"100,00%"
04/06/2026,10:15:00,MOBALPA,2,2,0,529,265,"100,00%"
04/06/2026,10:15:00,Pôle Fa - ELICA,1,1,0,506,506,"100,00%"
04/06/2026,10:15:00,Pôle FA - MIDEA,4,4,0,2416,604,"100,00%"
04/06/2026,10:15:00,SFG SERVICES - PLANIFICATION,3,2,1,191,64,"66,67%"
04/06/2026,10:15:00,SYSTEME U,4,4,0,2651,663,"100,00%"
04/06/2026,10:30:00,ELECTRO DEPOT,2,2,0,944,472,"100,00%"
04/06/2026,10:30:00,MOBALPA,5,5,0,3769,754,"100,00%"
04/06/2026,10:30:00,Pôle Fa - ELICA,3,3,0,1294,431,"100,00%"
04/06/2026,10:30:00,Pôle FA - MIDEA,5,5,0,1825,365,"100,00%"
04/06/2026,10:30:00,SFG SERVICES - PLANIFICATION,1,1,0,76,76,"100,00%"
04/06/2026,10:30:00,SYSTEME U,5,3,2,1957,391,"60,00%"
04/06/2026,10:45:00,ELECTRO DEPOT,1,1,0,728,728,"100,00%"
04/06/2026,10:45:00,MOBALPA,3,3,0,1583,528,"100,00%"
04/06/2026,10:45:00,Pôle FA - MIDEA,1,1,0,510,510,"100,00%"
04/06/2026,10:45:00,Pôle FA - ROBLIN,1,1,0,117,117,"100,00%"
04/06/2026,10:45:00,Pôle FA - SALM AIRFORCE,1,1,0,889,889,"100,00%"
04/06/2026,10:45:00,SFG SERVICES - PLANIFICATION,2,2,0,317,159,"100,00%"
04/06/2026,10:45:00,SYSTEME U,5,5,0,2180,436,"100,00%"
04/06/2026,11:00:00,ELECTRO DEPOT,1,1,0,207,207,"100,00%"
04/06/2026,11:00:00,MOBALPA,2,2,0,750,375,"100,00%"
04/06/2026,11:00:00,Pôle Fa - ELICA,3,3,0,1398,466,"100,00%"
04/06/2026,11:00:00,Pôle FA - MIDEA,6,6,0,2098,350,"100,00%"
04/06/2026,11:00:00,SFG SERVICES - PLANIFICATION,2,2,0,220,110,"100,00%"
04/06/2026,11:00:00,SYSTEME U,3,3,0,1178,393,"100,00%"
04/06/2026,11:15:00,ELECTRO DEPOT,2,2,0,1875,938,"100,00%"
04/06/2026,11:15:00,MOBALPA,1,1,0,326,326,"100,00%"
04/06/2026,11:15:00,Pôle Fa - ELICA,3,3,0,1335,445,"100,00%"
04/06/2026,11:15:00,Pôle FA - MIDEA,6,6,0,1339,223,"100,00%"
04/06/2026,11:15:00,Pôle FA - ROBLIN,1,1,0,749,749,"100,00%"
04/06/2026,11:15:00,Pôle FA - SALM AIRFORCE,1,1,0,505,505,"100,00%"
04/06/2026,11:15:00,SFG SERVICES - PLANIFICATION,2,2,0,246,123,"100,00%"
04/06/2026,11:15:00,SYSTEME U,7,7,0,2808,401,"100,00%"
04/06/2026,11:30:00,ELECTRO DEPOT,1,1,0,944,944,"100,00%"
04/06/2026,11:30:00,MOBALPA,4,4,0,1557,389,"100,00%"
04/06/2026,11:30:00,Pôle FA - MIDEA,1,1,0,697,697,"100,00%"
04/06/2026,11:30:00,Pôle FA - ROBLIN,1,1,0,390,390,"100,00%"
04/06/2026,11:30:00,Pôle FA - SALM AIRFORCE,1,1,0,500,500,"100,00%"
04/06/2026,11:30:00,SFG SERVICES - PLANIFICATION,1,1,0,199,199,"100,00%"
04/06/2026,11:30:00,SYSTEME U,4,4,0,2404,601,"100,00%"
04/06/2026,11:45:00,Pôle Fa - ELICA,1,1,0,173,173,"100,00%"
04/06/2026,11:45:00,Pôle FA - MIDEA,5,5,0,1261,252,"100,00%"
04/06/2026,11:45:00,Pôle FA - ROBLIN,1,1,0,668,668,"100,00%"
04/06/2026,11:45:00,SFG SERVICES - PLANIFICATION,1,1,0,460,460,"100,00%"
04/06/2026,11:45:00,SYSTEME U,4,4,0,1476,369,"100,00%"
