Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
11/05/2026,09:00:00,MOBALPA,2,2,0,404,202,"100,00%"
11/05/2026,09:15:00,MOBALPA,3,3,0,859,286,"100,00%"
11/05/2026,09:30:00,MOBALPA,5,4,1,1434,287,"80,00%"
11/05/2026,09:45:00,MOBALPA,5,5,0,2390,478,"100,00%"
11/05/2026,10:00:00,MOBALPA,4,4,0,1989,497,"100,00%"
11/05/2026,10:00:00,Pôle Fa - ELICA,6,6,0,2499,417,"100,00%"
11/05/2026,10:00:00,Pôle FA - MIDEA,4,4,0,1615,404,"100,00%"
11/05/2026,10:15:00,MOBALPA,13,10,3,8267,636,"76,92%"
11/05/2026,10:15:00,Pôle Fa - ELICA,1,1,0,590,590,"100,00%"
11/05/2026,10:15:00,Pôle FA - MIDEA,6,5,1,3342,557,"83,33%"
11/05/2026,10:15:00,Pôle FA - SALM AIRFORCE,2,2,0,667,334,"100,00%"
11/05/2026,10:30:00,MOBALPA,7,3,4,5801,829,"42,86%"
11/05/2026,10:30:00,Pôle Fa - ELICA,2,2,0,1180,590,"100,00%"
11/05/2026,10:30:00,Pôle FA - MIDEA,3,2,1,462,154,"66,67%"
11/05/2026,10:45:00,MOBALPA,7,5,2,3172,453,"71,43%"
11/05/2026,10:45:00,Pôle Fa - ELICA,2,2,0,503,252,"100,00%"
11/05/2026,10:45:00,Pôle FA - MIDEA,7,6,1,2645,378,"85,71%"
11/05/2026,10:45:00,Pôle FA - ROBLIN,1,1,0,206,206,"100,00%"
11/05/2026,11:00:00,MOBALPA,7,6,1,4622,660,"85,71%"
11/05/2026,11:00:00,Pôle Fa - ELICA,2,2,0,2791,1396,"100,00%"
11/05/2026,11:00:00,Pôle FA - MIDEA,7,7,0,3744,535,"100,00%"
11/05/2026,11:00:00,Pôle FA - ROBLIN,1,0,1,611,611,"0,00%"
11/05/2026,11:00:00,Pôle FA - SALM AIRFORCE,2,2,0,1623,812,"100,00%"
11/05/2026,11:15:00,MOBALPA,6,6,0,3949,658,"100,00%"
11/05/2026,11:15:00,Pôle Fa - ELICA,3,3,0,2217,739,"100,00%"
11/05/2026,11:15:00,Pôle FA - MIDEA,7,5,2,5733,819,"71,43%"
11/05/2026,11:15:00,Pôle FA - ROBLIN,1,0,1,604,604,"0,00%"
11/05/2026,11:30:00,MOBALPA,6,3,3,4851,809,"50,00%"
11/05/2026,11:30:00,Pôle FA - MIDEA,2,2,0,1789,895,"100,00%"
11/05/2026,11:45:00,MOBALPA,8,3,5,4420,553,"37,50%"
11/05/2026,11:45:00,Pôle FA - MIDEA,1,1,0,593,593,"100,00%"
11/05/2026,12:00:00,MOBALPA,6,6,0,2930,488,"100,00%"
11/05/2026,12:00:00,Pôle Fa - ELICA,1,1,0,89,89,"100,00%"
11/05/2026,12:15:00,MOBALPA,4,2,2,3032,758,"50,00%"
11/05/2026,12:15:00,Pôle Fa - ELICA,2,2,0,676,338,"100,00%"
11/05/2026,12:30:00,MOBALPA,1,1,0,701,701,"100,00%"
11/05/2026,12:30:00,Pôle Fa - ELICA,1,0,1,10,10,"0,00%"
11/05/2026,12:30:00,Pôle FA - MIDEA,3,3,0,1433,478,"100,00%"
11/05/2026,12:45:00,MOBALPA,1,1,0,403,403,"100,00%"
11/05/2026,12:45:00,Pôle Fa - ELICA,1,1,0,274,274,"100,00%"
11/05/2026,12:45:00,Pôle FA - MIDEA,1,1,0,149,149,"100,00%"
11/05/2026,12:45:00,Pôle FA - SALM AIRFORCE,1,1,0,832,832,"100,00%"
11/05/2026,13:00:00,MOBALPA,2,2,0,467,234,"100,00%"
11/05/2026,13:00:00,Pôle Fa - ELICA,1,1,0,314,314,"100,00%"
11/05/2026,13:15:00,MOBALPA,4,3,1,1628,407,"75,00%"
11/05/2026,13:15:00,Pôle Fa - ELICA,3,3,0,1836,612,"100,00%"
11/05/2026,13:15:00,Pôle FA - MIDEA,1,1,0,904,904,"100,00%"
11/05/2026,13:15:00,Pôle FA - SALM AIRFORCE,1,1,0,411,411,"100,00%"
11/05/2026,13:30:00,MOBALPA,1,1,0,287,287,"100,00%"
11/05/2026,13:30:00,Pôle Fa - ELICA,4,4,0,2153,538,"100,00%"
11/05/2026,13:30:00,Pôle FA - MIDEA,2,2,0,954,477,"100,00%"
11/05/2026,13:30:00,Pôle FA - SALM AIRFORCE,1,1,0,356,356,"100,00%"
11/05/2026,13:45:00,MOBALPA,5,5,0,1400,280,"100,00%"
11/05/2026,13:45:00,Pôle Fa - ELICA,1,1,0,308,308,"100,00%"
11/05/2026,13:45:00,Pôle FA - SILVERLINE,1,1,0,66,66,"100,00%"
11/05/2026,14:00:00,MOBALPA,5,4,1,4198,840,"80,00%"
11/05/2026,14:00:00,Pôle FA - MIDEA,2,2,0,1476,738,"100,00%"
11/05/2026,14:00:00,Pôle FA - ROBLIN,1,1,0,343,343,"100,00%"
11/05/2026,14:00:00,Pôle FA - SALM AIRFORCE,1,1,0,604,604,"100,00%"
11/05/2026,14:15:00,MOBALPA,5,4,1,3097,619,"80,00%"
11/05/2026,14:15:00,Pôle Fa - ELICA,3,3,0,535,178,"100,00%"
11/05/2026,14:15:00,Pôle FA - MIDEA,4,4,0,1455,364,"100,00%"
11/05/2026,14:15:00,Pôle FA - SALM AIRFORCE,2,2,0,2270,1135,"100,00%"
11/05/2026,14:30:00,MOBALPA,3,3,0,2509,836,"100,00%"
11/05/2026,14:30:00,Pôle Fa - ELICA,3,3,0,1473,491,"100,00%"
11/05/2026,14:30:00,Pôle FA - MIDEA,3,3,0,1288,429,"100,00%"
11/05/2026,14:45:00,MOBALPA,11,4,7,6635,603,"36,36%"
11/05/2026,14:45:00,Pôle Fa - ELICA,3,3,0,998,333,"100,00%"
11/05/2026,14:45:00,Pôle FA - MIDEA,2,2,0,947,474,"100,00%"
11/05/2026,14:45:00,Pôle FA - ROBLIN,1,1,0,582,582,"100,00%"
11/05/2026,14:45:00,Pôle FA - SALM AIRFORCE,1,1,0,1082,1082,"100,00%"
11/05/2026,15:00:00,MOBALPA,8,2,6,2975,372,"25,00%"
11/05/2026,15:00:00,Pôle FA - MIDEA,4,4,0,2030,508,"100,00%"
11/05/2026,15:00:00,Pôle FA - ROBLIN,1,1,0,474,474,"100,00%"
11/05/2026,15:00:00,Pôle FA - SALM AIRFORCE,1,1,0,553,553,"100,00%"
11/05/2026,15:15:00,MOBALPA,5,5,0,2966,593,"100,00%"
11/05/2026,15:15:00,Pôle Fa - ELICA,2,2,0,1800,900,"100,00%"
11/05/2026,15:15:00,Pôle FA - MIDEA,5,5,0,1647,329,"100,00%"
11/05/2026,15:15:00,Pôle FA - SALM AIRFORCE,1,1,0,299,299,"100,00%"
11/05/2026,15:30:00,MOBALPA,5,4,1,3366,673,"80,00%"
11/05/2026,15:30:00,Pôle Fa - ELICA,1,1,0,800,800,"100,00%"
11/05/2026,15:30:00,Pôle FA - MIDEA,2,2,0,1042,521,"100,00%"
11/05/2026,15:30:00,Pôle FA - ROBLIN,1,1,0,1039,1039,"100,00%"
11/05/2026,15:30:00,Pôle FA - SALM AIRFORCE,1,1,0,184,184,"100,00%"
11/05/2026,15:45:00,MOBALPA,6,6,0,3810,635,"100,00%"
11/05/2026,15:45:00,Pôle Fa - ELICA,3,3,0,1587,529,"100,00%"
11/05/2026,15:45:00,Pôle FA - MIDEA,2,2,0,681,341,"100,00%"
11/05/2026,15:45:00,Pôle FA - SALM AIRFORCE,1,1,0,32,32,"100,00%"
11/05/2026,16:00:00,MOBALPA,3,3,0,1274,425,"100,00%"
11/05/2026,16:00:00,Pôle Fa - ELICA,3,3,0,1302,434,"100,00%"
11/05/2026,16:00:00,Pôle FA - MIDEA,3,3,0,1299,433,"100,00%"
11/05/2026,16:00:00,Pôle FA - ROBLIN,1,1,0,1507,1507,"100,00%"
11/05/2026,16:00:00,Pôle FA - SALM AIRFORCE,2,2,0,1170,585,"100,00%"
11/05/2026,16:15:00,MOBALPA,1,1,0,694,694,"100,00%"
11/05/2026,16:15:00,Pôle Fa - ELICA,2,2,0,1457,729,"100,00%"
11/05/2026,16:15:00,Pôle FA - MIDEA,2,2,0,1851,926,"100,00%"
11/05/2026,16:15:00,Pôle FA - SALM AIRFORCE,1,1,0,1050,1050,"100,00%"
11/05/2026,16:30:00,MOBALPA,5,5,0,3280,656,"100,00%"
11/05/2026,16:30:00,Pôle Fa - ELICA,4,4,0,2401,600,"100,00%"
11/05/2026,16:30:00,Pôle FA - MIDEA,4,4,0,2993,748,"100,00%"
