Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
10/04/2026,07:00:00,MOBALPA,3,3,0,1256,418.67,"100.00%"
10/04/2026,07:15:00,MOBALPA,4,4,0,1960,490.00,"100.00%"
10/04/2026,07:30:00,MOBALPA,6,6,0,4136,689.33,"100.00%"
10/04/2026,08:00:00,Pôle FA - MIDEA,3,3,0,1082,360.67,"100.00%"
10/04/2026,08:00:00,MOBALPA,3,3,0,826,275.33,"100.00%"
10/04/2026,08:15:00,MOBALPA,5,5,0,3088,617.60,"100.00%"
10/04/2026,08:00:00,Pôle Fa - ELICA,1,1,0,62,62.00,"100.00%"
10/04/2026,08:15:00,Pôle Fa - ELICA,3,3,0,1403,467.67,"100.00%"
10/04/2026,08:15:00,Pôle FA - MIDEA,2,2,0,655,327.50,"100.00%"
10/04/2026,08:30:00,MOBALPA,3,3,0,2171,723.67,"100.00%"
10/04/2026,08:45:00,Pôle Fa - ELICA,4,4,0,2730,682.50,"100.00%"
10/04/2026,08:45:00,MOBALPA,1,1,0,868,868.00,"100.00%"
10/04/2026,09:00:00,MOBALPA,6,6,0,1494,249.00,"100.00%"
10/04/2026,08:30:00,Pôle Fa - ELICA,2,2,0,905,452.50,"100.00%"
10/04/2026,07:45:00,MOBALPA,1,1,0,294,294.00,"100.00%"
10/04/2026,08:30:00,Pôle FA - MIDEA,1,1,0,846,846.00,"100.00%"
10/04/2026,09:15:00,Pôle Fa - ELICA,3,3,0,472,157.33,"100.00%"
10/04/2026,08:45:00,Pôle FA - MIDEA,3,2,1,872,290.67,"66.67%"
10/04/2026,09:00:00,Pôle Fa - ELICA,3,3,0,846,282.00,"100.00%"
10/04/2026,09:30:00,MOBALPA,5,5,0,2364,472.80,"100.00%"
10/04/2026,09:15:00,Pôle FA - SALM AIRFORCE,1,1,0,438,438.00,"100.00%"
10/04/2026,08:45:00,Pôle FA - CHANGHONG,1,1,0,304,304.00,"100.00%"
10/04/2026,09:00:00,Pôle FA - SALM AIRFORCE,1,1,0,961,961.00,"100.00%"
10/04/2026,09:15:00,MOBALPA,3,3,0,1048,349.33,"100.00%"
10/04/2026,08:45:00,Pôle FA - SALM AIRFORCE,1,1,0,479,479.00,"100.00%"
10/04/2026,10:00:00,Pôle Fa - ELICA,2,2,0,436,218.00,"100.00%"
10/04/2026,09:30:00,Pôle FA - MIDEA,1,1,0,362,362.00,"100.00%"
10/04/2026,08:30:00,Pôle FA - ROBLIN,1,1,0,212,212.00,"100.00%"
10/04/2026,08:45:00,Pôle FA - ROBLIN,1,1,0,629,629.00,"100.00%"
10/04/2026,09:45:00,Pôle Fa - ELICA,2,2,0,604,302.00,"100.00%"
10/04/2026,09:45:00,MOBALPA,3,3,0,1022,340.67,"100.00%"
10/04/2026,10:30:00,Pôle FA - MIDEA,1,1,0,654,654.00,"100.00%"
10/04/2026,11:00:00,Pôle FA - MIDEA,5,5,0,1285,257.00,"100.00%"
10/04/2026,10:30:00,Pôle Fa - ELICA,2,2,0,710,355.00,"100.00%"
10/04/2026,11:30:00,Pôle Fa - ELICA,3,3,0,1086,362.00,"100.00%"
10/04/2026,11:00:00,MOBALPA,1,1,0,629,629.00,"100.00%"
10/04/2026,10:00:00,Pôle FA - MIDEA,1,1,0,151,151.00,"100.00%"
10/04/2026,11:00:00,Pôle Fa - ELICA,1,1,0,271,271.00,"100.00%"
10/04/2026,11:15:00,Pôle FA - ROBLIN,1,0,1,610,610.00,"0.00%"
10/04/2026,11:15:00,Pôle Fa - ELICA,1,1,0,240,240.00,"100.00%"
10/04/2026,12:00:00,MOBALPA,2,2,0,844,422.00,"100.00%"
10/04/2026,12:15:00,MOBALPA,7,7,0,1475,210.71,"100.00%"
10/04/2026,10:15:00,Pôle Fa - ELICA,1,1,0,268,268.00,"100.00%"
10/04/2026,11:15:00,Pôle FA - MIDEA,1,1,0,433,433.00,"100.00%"
