Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
21/05/2026,09:00:00,Pôle FA - MIDEA,5,5,0,299,60,"100,00%"
21/05/2026,09:15:00,,2,2,0,2,1,"100,00%"
21/05/2026,09:15:00,Pôle FA - MIDEA,5,5,0,335,67,"100,00%"
21/05/2026,09:30:00,,1,1,0,439,439,"100,00%"
21/05/2026,09:30:00,Pôle FA - MIDEA,6,6,0,372,62,"100,00%"
21/05/2026,09:45:00,,1,1,0,208,208,"100,00%"
21/05/2026,09:45:00,MOBALPA,1,1,0,398,398,"100,00%"
21/05/2026,09:45:00,Pôle FA - MIDEA,1,1,0,378,378,"100,00%"
21/05/2026,10:00:00,,2,2,0,1738,869,"100,00%"
21/05/2026,10:00:00,Pôle FA - SALM AIRFORCE,1,1,0,174,174,"100,00%"
21/05/2026,10:15:00,,3,3,0,1025,342,"100,00%"
21/05/2026,10:15:00,Pôle FA - CHANGHONG,1,1,0,21,21,"100,00%"
21/05/2026,10:15:00,SYSTEME U,1,1,0,33,33,"100,00%"
21/05/2026,10:30:00,,1,1,0,138,138,"100,00%"
21/05/2026,10:45:00,,1,1,0,255,255,"100,00%"
21/05/2026,11:00:00,,1,1,0,383,383,"100,00%"
21/05/2026,11:00:00,Pôle Fa - ELICA,1,1,0,65,65,"100,00%"
21/05/2026,11:00:00,Pôle FA - MIDEA,2,1,1,199,100,"50,00%"
21/05/2026,11:15:00,,2,2,0,1808,904,"100,00%"
21/05/2026,11:30:00,,1,1,0,954,954,"100,00%"
21/05/2026,11:30:00,SYSTEME U,1,1,0,16,16,"100,00%"
21/05/2026,11:45:00,Pôle FA - MIDEA,2,2,0,39,20,"100,00%"
21/05/2026,12:00:00,,1,1,0,105,105,"100,00%"
21/05/2026,12:00:00,Pôle Fa - ELICA,1,1,0,43,43,"100,00%"
21/05/2026,12:15:00,,1,1,0,390,390,"100,00%"
21/05/2026,12:15:00,Pôle Fa - ELICA,5,5,0,351,70,"100,00%"
21/05/2026,12:30:00,Pôle Fa - ELICA,1,1,0,55,55,"100,00%"
21/05/2026,12:30:00,Pôle FA - SALM AIRFORCE,2,2,0,105,53,"100,00%"
21/05/2026,12:45:00,,1,1,0,631,631,"100,00%"
21/05/2026,12:45:00,Pôle Fa - ELICA,1,1,0,326,326,"100,00%"
21/05/2026,12:45:00,Pôle FA - SALM AIRFORCE,4,4,0,444,111,"100,00%"
21/05/2026,13:00:00,Pôle FA - MIDEA,1,1,0,153,153,"100,00%"
21/05/2026,13:15:00,,1,1,0,939,939,"100,00%"
21/05/2026,13:15:00,Pôle Fa - ELICA,1,1,0,88,88,"100,00%"
21/05/2026,13:15:00,Pôle FA - SALM AIRFORCE,1,1,0,104,104,"100,00%"
21/05/2026,13:30:00,,3,3,0,2017,672,"100,00%"
21/05/2026,13:45:00,,1,1,0,390,390,"100,00%"
21/05/2026,14:15:00,,1,1,0,310,310,"100,00%"
21/05/2026,14:30:00,Pôle Fa - ELICA,1,1,0,82,82,"100,00%"
21/05/2026,14:30:00,Pôle FA - MIDEA,1,1,0,63,63,"100,00%"
21/05/2026,14:45:00,,1,1,0,451,451,"100,00%"
21/05/2026,14:45:00,Pôle FA - CHANGHONG,1,1,0,346,346,"100,00%"
21/05/2026,15:15:00,,1,1,0,899,899,"100,00%"
21/05/2026,15:15:00,SFG SERVICES - PLANIFICATION,1,1,0,30,30,"100,00%"
21/05/2026,15:30:00,Pôle FA - SALM AIRFORCE,3,2,1,328,109,"66,67%"
21/05/2026,15:30:00,SFG SERVICES - PLANIFICATION,5,5,0,468,94,"100,00%"
21/05/2026,15:45:00,,2,2,0,1330,665,"100,00%"
21/05/2026,16:00:00,,1,1,0,2913,2913,"100,00%"
21/05/2026,16:15:00,Pôle FA - CHANGHONG,2,2,0,388,194,"100,00%"
21/05/2026,16:15:00,Pôle Fa - ELICA,2,2,0,421,211,"100,00%"
21/05/2026,16:30:00,,3,3,0,1316,439,"100,00%"
21/05/2026,16:30:00,Pôle Fa - ELICA,2,2,0,54,27,"100,00%"
21/05/2026,16:30:00,SFG SERVICES - PLANIFICATION,3,3,0,247,82,"100,00%"
21/05/2026,17:00:00,,1,1,0,401,401,"100,00%"
21/05/2026,17:00:00,MOBALPA,1,1,0,283,283,"100,00%"
21/05/2026,17:45:00,Pôle FA - SALM AIRFORCE,1,1,0,298,298,"100,00%"
21/05/2026,18:30:00,Pôle FA - SALM AIRFORCE,2,2,0,334,167,"100,00%"
21/05/2026,18:45:00,Pôle FA - SALM AIRFORCE,1,1,0,206,206,"100,00%"
Total pour 21/05/2026,,,103,101,2,26588,258,"98,06%"
