Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
06/06/2026,11:00:00,MOBALPA,2,2,0,43,22,"100,00%"
06/06/2026,11:00:00,Pôle FA - MIDEA,1,1,0,24,24,"100,00%"
06/06/2026,11:15:00,Pôle FA - ROBLIN,2,2,0,46,23,"100,00%"
06/06/2026,11:15:00,Pôle FA - SILVERLINE,1,1,0,23,23,"100,00%"
06/06/2026,12:30:00,,1,1,0,469,469,"100,00%"
06/06/2026,13:45:00,,1,1,0,456,456,"100,00%"
06/06/2026,13:45:00,Pôle Fa - ELICA,1,1,0,88,88,"100,00%"
06/06/2026,14:15:00,,1,1,0,4,4,"100,00%"
06/06/2026,16:15:00,,2,2,0,33,17,"100,00%"
Total pour 06/06/2026,,,12,12,0,1186,99,"100,00%"
