Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
02/06/2026,09:00:00,,1,1,0,452,452,"100,00%"
02/06/2026,09:00:00,Pôle Fa - ELICA,8,8,0,433,54,"100,00%"
02/06/2026,09:00:00,SFG SERVICES - PLANIFICATION,2,2,0,61,31,"100,00%"
02/06/2026,09:15:00,Pôle Fa - ELICA,7,7,0,392,56,"100,00%"
02/06/2026,09:15:00,SFG SERVICES - PLANIFICATION,3,3,0,134,45,"100,00%"
02/06/2026,09:30:00,,2,2,0,1026,513,"100,00%"
02/06/2026,09:30:00,Pôle Fa - ELICA,7,7,0,656,94,"100,00%"
02/06/2026,09:45:00,,3,3,0,1146,382,"100,00%"
02/06/2026,09:45:00,SFG SERVICES - PLANIFICATION,2,2,0,87,44,"100,00%"
02/06/2026,10:00:00,Pôle Fa - ELICA,2,2,0,109,55,"100,00%"
02/06/2026,10:00:00,SFG SERVICES - PLANIFICATION,2,2,0,77,39,"100,00%"
02/06/2026,10:15:00,,2,2,0,672,336,"100,00%"
02/06/2026,10:15:00,SFG SERVICES - PLANIFICATION,1,1,0,19,19,"100,00%"
02/06/2026,10:30:00,,1,1,0,167,167,"100,00%"
02/06/2026,10:45:00,Pôle Fa - ELICA,2,2,0,141,71,"100,00%"
02/06/2026,10:45:00,SFG SERVICES - PLANIFICATION,1,1,0,100,100,"100,00%"
02/06/2026,11:00:00,,3,3,0,892,297,"100,00%"
02/06/2026,11:00:00,Pôle Fa - ELICA,1,1,0,33,33,"100,00%"
02/06/2026,11:00:00,SFG SERVICES - PLANIFICATION,2,1,1,205,103,"50,00%"
02/06/2026,11:15:00,,1,1,0,1044,1044,"100,00%"
02/06/2026,11:15:00,Pôle Fa - ELICA,1,1,0,48,48,"100,00%"
02/06/2026,11:15:00,SFG SERVICES - PLANIFICATION,4,4,0,246,62,"100,00%"
02/06/2026,11:30:00,,1,1,0,152,152,"100,00%"
02/06/2026,11:30:00,SFG SERVICES - PLANIFICATION,3,3,0,188,63,"100,00%"
02/06/2026,11:45:00,SFG SERVICES - PLANIFICATION,2,2,0,119,60,"100,00%"
02/06/2026,12:00:00,Pôle Fa - ELICA,1,1,0,51,51,"100,00%"
02/06/2026,12:00:00,SFG SERVICES - PLANIFICATION,4,4,0,194,49,"100,00%"
02/06/2026,12:15:00,,3,3,0,1382,461,"100,00%"
02/06/2026,12:15:00,Pôle Fa - ELICA,4,4,0,434,109,"100,00%"
02/06/2026,12:15:00,Pôle FA - SALM AIRFORCE,3,3,0,594,198,"100,00%"
02/06/2026,12:30:00,,2,2,0,1112,556,"100,00%"
02/06/2026,12:30:00,SFG SERVICES - PLANIFICATION,1,1,0,26,26,"100,00%"
02/06/2026,13:00:00,Pôle FA - SALM AIRFORCE,4,2,2,287,72,"50,00%"
02/06/2026,13:15:00,Pôle FA - SALM AIRFORCE,1,1,0,71,71,"100,00%"
02/06/2026,13:30:00,,1,1,0,499,499,"100,00%"
02/06/2026,13:45:00,,1,1,0,360,360,"100,00%"
02/06/2026,13:45:00,Pôle Fa - ELICA,4,4,0,843,211,"100,00%"
02/06/2026,13:45:00,Pôle FA - SALM AIRFORCE,3,3,0,513,171,"100,00%"
02/06/2026,13:45:00,Pôle FA - SILVERLINE,1,1,0,13,13,"100,00%"
02/06/2026,13:45:00,SFG SERVICES - PLANIFICATION,2,2,0,149,75,"100,00%"
02/06/2026,14:00:00,,1,1,0,84,84,"100,00%"
02/06/2026,14:00:00,Pôle Fa - ELICA,2,2,0,108,54,"100,00%"
02/06/2026,14:00:00,SFG SERVICES - PLANIFICATION,2,2,0,87,44,"100,00%"
02/06/2026,14:15:00,Pôle Fa - ELICA,4,4,0,215,54,"100,00%"
02/06/2026,14:30:00,,1,1,0,322,322,"100,00%"
02/06/2026,14:45:00,Pôle Fa - ELICA,2,2,0,316,158,"100,00%"
02/06/2026,15:00:00,,1,1,0,287,287,"100,00%"
02/06/2026,15:00:00,SFG SERVICES - PLANIFICATION,1,1,0,133,133,"100,00%"
02/06/2026,15:15:00,,2,2,0,1470,735,"100,00%"
02/06/2026,15:15:00,Pôle FA - MIDEA,1,1,0,248,248,"100,00%"
02/06/2026,15:30:00,,3,3,0,2403,801,"100,00%"
02/06/2026,15:30:00,SFG SERVICES - PLANIFICATION,2,2,0,377,189,"100,00%"
02/06/2026,15:45:00,,1,1,0,783,783,"100,00%"
02/06/2026,16:00:00,,1,1,0,90,90,"100,00%"
02/06/2026,16:00:00,Pôle Fa - ELICA,2,2,0,510,255,"100,00%"
02/06/2026,16:00:00,Pôle FA - MIDEA,1,1,0,330,330,"100,00%"
