Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
15/04/2026,09:00:00,MOBALPA,2,2,0,533,267,"100,00%"
15/04/2026,09:15:00,MOBALPA,6,6,0,3632,605,"100,00%"
15/04/2026,09:30:00,MOBALPA,10,10,0,3649,365,"100,00%"
15/04/2026,09:45:00,MOBALPA,4,4,0,1974,494,"100,00%"
15/04/2026,10:00:00,MOBALPA,5,5,0,1878,376,"100,00%"
15/04/2026,10:00:00,Pôle Fa - ELICA,3,3,0,1114,371,"100,00%"
15/04/2026,10:15:00,MOBALPA,5,5,0,1167,233,"100,00%"
15/04/2026,10:15:00,Pôle Fa - ELICA,3,3,0,1528,509,"100,00%"
15/04/2026,10:15:00,Pôle FA - MIDEA,3,3,0,1976,659,"100,00%"
15/04/2026,10:15:00,Pôle FA - ROBLIN,2,2,0,292,146,"100,00%"
15/04/2026,10:30:00,MOBALPA,4,4,0,2194,549,"100,00%"
15/04/2026,10:30:00,Pôle Fa - ELICA,2,2,0,558,279,"100,00%"
15/04/2026,10:30:00,Pôle FA - MIDEA,1,1,0,393,393,"100,00%"
15/04/2026,10:45:00,MOBALPA,7,7,0,2903,415,"100,00%"
15/04/2026,10:45:00,Pôle FA - SALM AIRFORCE,1,1,0,743,743,"100,00%"
15/04/2026,11:00:00,MOBALPA,11,10,1,4973,452,"90,91%"
15/04/2026,11:00:00,Pôle Fa - ELICA,4,4,0,1269,317,"100,00%"
15/04/2026,11:00:00,Pôle FA - MIDEA,2,2,0,822,411,"100,00%"
15/04/2026,11:00:00,Pôle FA - ROBLIN,1,1,0,1057,1057,"100,00%"
15/04/2026,11:15:00,MOBALPA,3,2,1,1253,418,"66,67%"
15/04/2026,11:15:00,Pôle FA - MIDEA,1,1,0,542,542,"100,00%"
15/04/2026,11:15:00,Pôle FA - ROBLIN,1,1,0,453,453,"100,00%"
15/04/2026,11:30:00,MOBALPA,3,3,0,1977,659,"100,00%"
15/04/2026,11:30:00,Pôle Fa - ELICA,4,4,0,1495,374,"100,00%"
15/04/2026,11:30:00,Pôle FA - MIDEA,2,2,0,513,257,"100,00%"
15/04/2026,11:45:00,MOBALPA,1,1,0,131,131,"100,00%"
15/04/2026,11:45:00,Pôle Fa - ELICA,2,2,0,379,190,"100,00%"
15/04/2026,11:45:00,Pôle FA - MIDEA,2,2,0,665,333,"100,00%"
15/04/2026,11:45:00,Pôle FA - SALM AIRFORCE,1,1,0,251,251,"100,00%"
15/04/2026,12:00:00,MOBALPA,2,2,0,864,432,"100,00%"
15/04/2026,12:00:00,Pôle FA - ROBLIN,1,1,0,212,212,"100,00%"
15/04/2026,12:00:00,Pôle FA - SALM AIRFORCE,2,2,0,562,281,"100,00%"
15/04/2026,12:15:00,MOBALPA,5,5,0,1319,264,"100,00%"
15/04/2026,12:15:00,Pôle Fa - ELICA,2,2,0,664,332,"100,00%"
15/04/2026,12:30:00,MOBALPA,4,2,2,967,242,"50,00%"
15/04/2026,12:30:00,Pôle FA - MIDEA,1,1,0,147,147,"100,00%"
15/04/2026,12:30:00,Pôle FA - SALM AIRFORCE,1,1,0,335,335,"100,00%"
15/04/2026,12:45:00,Pôle Fa - ELICA,2,2,0,891,446,"100,00%"
15/04/2026,12:45:00,Pôle FA - MIDEA,1,1,0,158,158,"100,00%"
15/04/2026,13:00:00,Pôle FA - MIDEA,1,1,0,142,142,"100,00%"
15/04/2026,13:15:00,MOBALPA,2,2,0,197,99,"100,00%"
15/04/2026,13:30:00,MOBALPA,2,2,0,1051,526,"100,00%"
15/04/2026,13:30:00,Pôle FA - MIDEA,1,1,0,676,676,"100,00%"
15/04/2026,13:45:00,MOBALPA,1,1,0,311,311,"100,00%"
15/04/2026,13:45:00,Pôle Fa - ELICA,4,3,1,1553,388,"75,00%"
15/04/2026,14:00:00,MOBALPA,3,3,0,476,159,"100,00%"
15/04/2026,14:00:00,Pôle Fa - ELICA,3,3,0,1272,424,"100,00%"
15/04/2026,14:15:00,MOBALPA,7,7,0,4818,688,"100,00%"
15/04/2026,14:15:00,Pôle Fa - ELICA,3,2,1,897,299,"66,67%"
15/04/2026,14:15:00,Pôle FA - MIDEA,1,1,0,203,203,"100,00%"
15/04/2026,14:30:00,MOBALPA,4,4,0,1244,311,"100,00%"
15/04/2026,14:30:00,Pôle FA - MIDEA,3,3,0,1222,407,"100,00%"
15/04/2026,14:30:00,Pôle FA - SALM AIRFORCE,2,2,0,809,405,"100,00%"
15/04/2026,14:45:00,MOBALPA,5,5,0,2427,485,"100,00%"
15/04/2026,14:45:00,Pôle FA - MIDEA,1,1,0,382,382,"100,00%"
15/04/2026,15:00:00,MOBALPA,4,4,0,1582,396,"100,00%"
15/04/2026,15:00:00,Pôle FA - MIDEA,1,1,0,231,231,"100,00%"
15/04/2026,15:00:00,Pôle FA - SALM AIRFORCE,1,1,0,158,158,"100,00%"
15/04/2026,15:15:00,MOBALPA,7,7,0,4091,584,"100,00%"
15/04/2026,15:15:00,Pôle Fa - ELICA,2,2,0,1157,579,"100,00%"
15/04/2026,15:15:00,Pôle FA - MIDEA,4,4,0,2369,592,"100,00%"
15/04/2026,15:30:00,,1,1,0,68,68,"100,00%"
15/04/2026,15:30:00,MOBALPA,5,5,0,2544,509,"100,00%"
15/04/2026,15:30:00,Pôle Fa - ELICA,1,1,0,387,387,"100,00%"
15/04/2026,15:45:00,MOBALPA,1,1,0,310,310,"100,00%"
15/04/2026,16:00:00,Pôle FA - MIDEA,2,2,0,1090,545,"100,00%"
15/04/2026,16:00:00,Pôle FA - ROBLIN,1,1,0,851,851,"100,00%"
15/04/2026,16:15:00,MOBALPA,2,2,0,491,246,"100,00%"
15/04/2026,16:15:00,Pôle FA - CHANGHONG,1,1,0,455,455,"100,00%"
15/04/2026,16:15:00,Pôle Fa - ELICA,1,1,0,379,379,"100,00%"
15/04/2026,16:30:00,MOBALPA,1,1,0,524,524,"100,00%"
15/04/2026,16:30:00,Pôle Fa - ELICA,3,3,0,1014,338,"100,00%"
15/04/2026,16:30:00,Pôle FA - MIDEA,5,5,0,2155,431,"100,00%"
15/04/2026,16:30:00,Pôle FA - ROBLIN,1,1,0,86,86,"100,00%"
15/04/2026,16:30:00,Pôle FA - SALM AIRFORCE,1,1,0,558,558,"100,00%"
15/04/2026,16:45:00,MOBALPA,3,3,0,1000,333,"100,00%"
15/04/2026,16:45:00,Pôle Fa - ELICA,1,1,0,448,448,"100,00%"
15/04/2026,17:00:00,MOBALPA,6,6,0,3248,541,"100,00%"
15/04/2026,17:00:00,Pôle Fa - ELICA,1,1,0,184,184,"100,00%"
