Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
12/06/2026,09:00:00,ELECTRO DEPOT,3,0,3,31,10,"0,00%"
12/06/2026,09:00:00,MOBALPA,4,4,0,2251,563,"100,00%"
12/06/2026,09:00:00,SFG SERVICES - PLANIFICATION,1,1,0,113,113,"100,00%"
12/06/2026,09:00:00,SYSTEME U,4,4,0,1260,315,"100,00%"
12/06/2026,09:15:00,ELECTRO DEPOT,2,2,0,715,358,"100,00%"
12/06/2026,09:15:00,MOBALPA,6,5,1,1605,268,"83,33%"
12/06/2026,09:15:00,SYSTEME U,1,1,0,270,270,"100,00%"
12/06/2026,09:30:00,ELECTRO DEPOT,1,1,0,478,478,"100,00%"
12/06/2026,09:30:00,MOBALPA,3,3,0,1096,365,"100,00%"
12/06/2026,09:30:00,MRH MACIF,2,1,1,147,74,"50,00%"
12/06/2026,09:30:00,SFG SERVICES - PLANIFICATION,1,1,0,417,417,"100,00%"
12/06/2026,09:30:00,SYSTEME U,2,2,0,708,354,"100,00%"
12/06/2026,09:45:00,MOBALPA,4,4,0,3314,829,"100,00%"
12/06/2026,09:45:00,SFG SERVICES - PLANIFICATION,3,3,0,543,181,"100,00%"
12/06/2026,09:45:00,SYSTEME U,7,7,0,1737,248,"100,00%"
12/06/2026,10:00:00,ELECTRO DEPOT,1,1,0,409,409,"100,00%"
12/06/2026,10:00:00,MOBALPA,3,3,0,2365,788,"100,00%"
12/06/2026,10:00:00,MRH MACIF,2,2,0,188,94,"100,00%"
12/06/2026,10:00:00,Pôle FA - MIDEA,1,1,0,174,174,"100,00%"
12/06/2026,10:00:00,Pôle FA - SALM AIRFORCE,3,3,0,1008,336,"100,00%"
12/06/2026,10:00:00,SFG SERVICES - PLANIFICATION,2,2,0,952,476,"100,00%"
12/06/2026,10:00:00,SYSTEME U,5,5,0,2006,401,"100,00%"
12/06/2026,10:15:00,ELECTRO DEPOT,2,2,0,1790,895,"100,00%"
12/06/2026,10:15:00,MOBALPA,8,8,0,3369,421,"100,00%"
12/06/2026,10:15:00,MRH MACIF,1,1,0,65,65,"100,00%"
12/06/2026,10:15:00,Pôle Fa - ELICA,3,3,0,1853,618,"100,00%"
12/06/2026,10:15:00,Pôle FA - MIDEA,2,2,0,428,214,"100,00%"
12/06/2026,10:15:00,Pôle FA - SALM AIRFORCE,2,2,0,322,161,"100,00%"
12/06/2026,10:15:00,SYSTEME U,7,7,0,3086,441,"100,00%"
12/06/2026,10:30:00,MOBALPA,3,3,0,1293,431,"100,00%"
12/06/2026,10:30:00,Pôle Fa - ELICA,1,1,0,99,99,"100,00%"
12/06/2026,10:30:00,Pôle FA - MIDEA,1,1,0,728,728,"100,00%"
12/06/2026,10:30:00,SFG SERVICES - PLANIFICATION,2,2,0,419,210,"100,00%"
12/06/2026,10:30:00,SYSTEME U,3,3,0,879,293,"100,00%"
12/06/2026,10:45:00,ELECTRO DEPOT,1,1,0,304,304,"100,00%"
12/06/2026,10:45:00,MOBALPA,2,2,0,910,455,"100,00%"
12/06/2026,10:45:00,MRH MACIF,1,1,0,122,122,"100,00%"
12/06/2026,10:45:00,Pôle FA - CHANGHONG,1,1,0,758,758,"100,00%"
12/06/2026,10:45:00,Pôle Fa - ELICA,4,4,0,1001,250,"100,00%"
12/06/2026,10:45:00,Pôle FA - MIDEA,6,6,0,4539,757,"100,00%"
12/06/2026,10:45:00,Pôle FA - ROBLIN,1,1,0,63,63,"100,00%"
12/06/2026,10:45:00,Pôle FA - SALM AIRFORCE,1,1,0,287,287,"100,00%"
12/06/2026,10:45:00,SFG SERVICES - PLANIFICATION,4,4,0,626,157,"100,00%"
12/06/2026,10:45:00,SYSTEME U,1,1,0,422,422,"100,00%"
12/06/2026,11:00:00,ELECTRO DEPOT,2,2,0,942,471,"100,00%"
12/06/2026,11:00:00,MOBALPA,4,4,0,1946,487,"100,00%"
12/06/2026,11:00:00,MRH MACIF,1,1,0,60,60,"100,00%"
12/06/2026,11:00:00,Pôle Fa - ELICA,4,4,0,1147,287,"100,00%"
12/06/2026,11:00:00,Pôle FA - MIDEA,2,1,1,1100,550,"50,00%"
12/06/2026,11:00:00,Pôle FA - SALM AIRFORCE,3,3,0,1896,632,"100,00%"
12/06/2026,11:00:00,SYSTEME U,7,7,0,1414,202,"100,00%"
12/06/2026,11:15:00,ELECTRO DEPOT,1,1,0,790,790,"100,00%"
12/06/2026,11:15:00,MOBALPA,3,3,0,792,264,"100,00%"
12/06/2026,11:15:00,Pôle Fa - ELICA,3,2,1,1251,417,"66,67%"
12/06/2026,11:15:00,Pôle FA - MIDEA,1,1,0,274,274,"100,00%"
12/06/2026,11:15:00,Pôle FA - ROBLIN,2,2,0,685,343,"100,00%"
12/06/2026,11:15:00,Pôle FA - SALM AIRFORCE,2,2,0,1455,728,"100,00%"
12/06/2026,11:15:00,SFG SERVICES - PLANIFICATION,3,3,0,381,127,"100,00%"
12/06/2026,11:15:00,SYSTEME U,5,5,0,1069,214,"100,00%"
12/06/2026,11:30:00,ELECTRO DEPOT,1,1,0,519,519,"100,00%"
12/06/2026,11:30:00,MOBALPA,4,4,0,1716,429,"100,00%"
12/06/2026,11:30:00,Pôle Fa - ELICA,1,1,0,369,369,"100,00%"
12/06/2026,11:30:00,Pôle FA - ROBLIN,1,1,0,602,602,"100,00%"
12/06/2026,11:30:00,SFG SERVICES - PLANIFICATION,4,4,0,538,135,"100,00%"
12/06/2026,11:30:00,SYSTEME U,5,5,0,2491,498,"100,00%"
12/06/2026,11:45:00,MOBALPA,5,5,0,1849,370,"100,00%"
12/06/2026,11:45:00,Pôle Fa - ELICA,1,1,0,75,75,"100,00%"
12/06/2026,11:45:00,Pôle FA - SALM AIRFORCE,1,1,0,632,632,"100,00%"
12/06/2026,11:45:00,SFG SERVICES - PLANIFICATION,1,1,0,88,88,"100,00%"
12/06/2026,11:45:00,SYSTEME U,4,4,0,1150,288,"100,00%"
12/06/2026,12:00:00,MOBALPA,2,2,0,498,249,"100,00%"
12/06/2026,12:00:00,Pôle Fa - ELICA,2,2,0,1626,813,"100,00%"
12/06/2026,12:00:00,Pôle FA - MIDEA,1,1,0,504,504,"100,00%"
12/06/2026,12:00:00,SFG SERVICES - PLANIFICATION,2,2,0,441,221,"100,00%"
12/06/2026,12:00:00,SYSTEME U,2,2,0,1016,508,"100,00%"
