Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
04/05/2026,11:00:00,MOBALPA,5,5,0,1454,291,"100,00%"
04/05/2026,11:15:00,MOBALPA,9,8,1,5239,582,"88,89%"
04/05/2026,11:30:00,MOBALPA,3,2,1,819,273,"66,67%"
04/05/2026,11:45:00,MOBALPA,11,10,1,3794,345,"90,91%"
04/05/2026,12:00:00,MOBALPA,5,5,0,1894,379,"100,00%"
04/05/2026,12:00:00,Pôle FA - CHANGHONG,1,1,0,332,332,"100,00%"
04/05/2026,12:00:00,Pôle Fa - ELICA,3,3,0,1404,468,"100,00%"
04/05/2026,12:00:00,Pôle FA - MIDEA,8,8,0,5215,652,"100,00%"
04/05/2026,12:15:00,MOBALPA,8,8,0,3504,438,"100,00%"
04/05/2026,12:15:00,Pôle Fa - ELICA,4,3,1,3478,870,"75,00%"
04/05/2026,12:15:00,Pôle FA - MIDEA,3,3,0,1113,371,"100,00%"
04/05/2026,12:15:00,Pôle FA - ROBLIN,1,1,0,244,244,"100,00%"
04/05/2026,12:30:00,MOBALPA,7,7,0,3770,539,"100,00%"
04/05/2026,12:30:00,Pôle Fa - ELICA,3,3,0,910,303,"100,00%"
04/05/2026,12:30:00,Pôle FA - MIDEA,9,9,0,4951,550,"100,00%"
04/05/2026,12:45:00,MOBALPA,7,7,0,3688,527,"100,00%"
04/05/2026,12:45:00,Pôle FA - MIDEA,5,5,0,2509,502,"100,00%"
04/05/2026,13:00:00,MOBALPA,7,6,1,4532,647,"85,71%"
04/05/2026,13:00:00,Pôle Fa - ELICA,4,4,0,1871,468,"100,00%"
04/05/2026,13:00:00,Pôle FA - MIDEA,2,2,0,1728,864,"100,00%"
04/05/2026,13:15:00,MOBALPA,8,7,1,2267,283,"87,50%"
04/05/2026,13:15:00,Pôle FA - CHANGHONG,1,1,0,623,623,"100,00%"
04/05/2026,13:15:00,Pôle Fa - ELICA,2,2,0,335,168,"100,00%"
04/05/2026,13:15:00,Pôle FA - MIDEA,5,5,0,2322,464,"100,00%"
04/05/2026,13:15:00,Pôle FA - ROBLIN,1,1,0,264,264,"100,00%"
04/05/2026,13:30:00,MOBALPA,6,6,0,4165,694,"100,00%"
04/05/2026,13:30:00,Pôle Fa - ELICA,2,2,0,419,210,"100,00%"
04/05/2026,13:30:00,Pôle FA - MIDEA,1,1,0,1090,1090,"100,00%"
04/05/2026,13:30:00,Pôle FA - SALM AIRFORCE,1,1,0,828,828,"100,00%"
04/05/2026,13:45:00,MOBALPA,1,0,1,74,74,"0,00%"
04/05/2026,13:45:00,Pôle FA - MIDEA,5,5,0,1594,319,"100,00%"
04/05/2026,14:00:00,MOBALPA,2,2,0,1643,822,"100,00%"
04/05/2026,14:00:00,Pôle FA - MIDEA,4,4,0,1039,260,"100,00%"
04/05/2026,14:15:00,Pôle Fa - ELICA,1,1,0,179,179,"100,00%"
04/05/2026,14:15:00,Pôle FA - ROBLIN,1,1,0,772,772,"100,00%"
04/05/2026,14:30:00,MOBALPA,1,1,0,184,184,"100,00%"
04/05/2026,14:30:00,Pôle Fa - ELICA,1,1,0,280,280,"100,00%"
04/05/2026,14:30:00,Pôle FA - MIDEA,3,3,0,562,187,"100,00%"
04/05/2026,14:30:00,Pôle FA - ROBLIN,1,1,0,496,496,"100,00%"
04/05/2026,14:45:00,MOBALPA,1,1,0,431,431,"100,00%"
04/05/2026,14:45:00,Pôle Fa - ELICA,1,1,0,498,498,"100,00%"
04/05/2026,14:45:00,Pôle FA - MIDEA,10,9,1,2689,269,"90,00%"
04/05/2026,15:00:00,MOBALPA,5,4,1,1639,328,"80,00%"
04/05/2026,15:00:00,Pôle Fa - ELICA,1,1,0,301,301,"100,00%"
04/05/2026,15:00:00,Pôle FA - MIDEA,1,1,0,555,555,"100,00%"
04/05/2026,15:15:00,MOBALPA,1,1,0,254,254,"100,00%"
04/05/2026,15:15:00,Pôle Fa - ELICA,1,1,0,527,527,"100,00%"
04/05/2026,15:15:00,Pôle FA - MIDEA,3,3,0,1855,618,"100,00%"
04/05/2026,15:30:00,Pôle Fa - ELICA,1,1,0,289,289,"100,00%"
04/05/2026,15:30:00,Pôle FA - MIDEA,2,2,0,993,497,"100,00%"
04/05/2026,15:45:00,MOBALPA,8,8,0,2324,291,"100,00%"
04/05/2026,15:45:00,Pôle Fa - ELICA,3,3,0,1490,497,"100,00%"
04/05/2026,15:45:00,Pôle FA - MIDEA,2,2,0,1008,504,"100,00%"
04/05/2026,15:45:00,Pôle FA - SALM AIRFORCE,1,1,0,477,477,"100,00%"
04/05/2026,16:00:00,MOBALPA,4,4,0,1334,334,"100,00%"
04/05/2026,16:00:00,Pôle Fa - ELICA,2,2,0,1005,503,"100,00%"
04/05/2026,16:00:00,Pôle FA - MIDEA,1,1,0,329,329,"100,00%"
04/05/2026,16:00:00,Pôle FA - ROBLIN,1,1,0,234,234,"100,00%"
04/05/2026,16:15:00,MOBALPA,9,9,0,4135,459,"100,00%"
04/05/2026,16:15:00,Pôle Fa - ELICA,1,1,0,450,450,"100,00%"
04/05/2026,16:15:00,Pôle FA - ROBLIN,2,2,0,853,427,"100,00%"
04/05/2026,16:15:00,Pôle FA - SALM AIRFORCE,1,1,0,759,759,"100,00%"
04/05/2026,16:30:00,MOBALPA,5,5,0,2008,402,"100,00%"
04/05/2026,16:30:00,Pôle Fa - ELICA,3,3,0,1400,467,"100,00%"
04/05/2026,16:30:00,Pôle FA - MIDEA,4,4,0,662,166,"100,00%"
04/05/2026,16:45:00,MOBALPA,8,8,0,2936,367,"100,00%"
04/05/2026,16:45:00,Pôle Fa - ELICA,3,3,0,1144,381,"100,00%"
04/05/2026,16:45:00,Pôle FA - MIDEA,2,2,0,828,414,"100,00%"
04/05/2026,16:45:00,Pôle FA - ROBLIN,1,1,0,524,524,"100,00%"
04/05/2026,17:00:00,MOBALPA,6,6,0,2506,418,"100,00%"
04/05/2026,17:00:00,Pôle FA - CHANGHONG,1,0,1,163,163,"0,00%"
04/05/2026,17:00:00,Pôle Fa - ELICA,6,6,0,3323,554,"100,00%"
04/05/2026,17:00:00,Pôle FA - MIDEA,3,3,0,1294,431,"100,00%"
04/05/2026,17:00:00,Pôle FA - ROBLIN,1,1,0,309,309,"100,00%"
