Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
04/05/2026,11:00:00,,1,1,0,433,433,"100,00%"
04/05/2026,11:00:00,Pôle FA - CHANGHONG,5,4,1,188,38,"80,00%"
04/05/2026,11:00:00,Pôle Fa - ELICA,3,3,0,274,91,"100,00%"
04/05/2026,11:15:00,,1,1,0,1448,1448,"100,00%"
04/05/2026,11:15:00,Pôle FA - CHANGHONG,2,2,0,129,65,"100,00%"
04/05/2026,11:15:00,Pôle Fa - ELICA,3,3,0,273,91,"100,00%"
04/05/2026,11:30:00,Pôle Fa - ELICA,2,2,0,109,55,"100,00%"
04/05/2026,11:45:00,,2,2,0,853,427,"100,00%"
04/05/2026,12:00:00,,2,2,0,682,341,"100,00%"
04/05/2026,12:30:00,,1,1,0,197,197,"100,00%"
04/05/2026,12:45:00,,2,2,0,561,281,"100,00%"
04/05/2026,13:00:00,Pôle Fa - ELICA,3,3,0,207,69,"100,00%"
04/05/2026,13:15:00,,3,3,0,450,150,"100,00%"
04/05/2026,13:15:00,Pôle FA - SALM AIRFORCE,1,1,0,69,69,"100,00%"
04/05/2026,13:30:00,Pôle Fa - ELICA,1,1,0,203,203,"100,00%"
04/05/2026,13:45:00,,4,4,0,2312,578,"100,00%"
04/05/2026,13:45:00,Pôle Fa - ELICA,6,6,0,488,81,"100,00%"
04/05/2026,13:45:00,Pôle FA - SALM AIRFORCE,1,1,0,16,16,"100,00%"
04/05/2026,14:00:00,,1,1,0,247,247,"100,00%"
04/05/2026,14:00:00,Pôle Fa - ELICA,1,1,0,557,557,"100,00%"
04/05/2026,14:15:00,,1,1,0,940,940,"100,00%"
04/05/2026,14:15:00,Pôle Fa - ELICA,2,2,0,390,195,"100,00%"
04/05/2026,14:30:00,Pôle Fa - ELICA,1,1,0,86,86,"100,00%"
04/05/2026,14:45:00,,1,1,0,214,214,"100,00%"
04/05/2026,15:00:00,,2,2,0,483,242,"100,00%"
04/05/2026,15:00:00,Pôle FA - CHANGHONG,3,2,1,530,177,"66,67%"
04/05/2026,15:30:00,Pôle Fa - ELICA,1,1,0,116,116,"100,00%"
04/05/2026,15:45:00,,1,1,0,531,531,"100,00%"
04/05/2026,16:00:00,,2,2,0,174,87,"100,00%"
04/05/2026,16:00:00,Pôle Fa - ELICA,1,1,0,62,62,"100,00%"
04/05/2026,16:15:00,Pôle Fa - ELICA,1,1,0,782,782,"100,00%"
04/05/2026,16:30:00,,1,1,0,509,509,"100,00%"
04/05/2026,16:45:00,,1,1,0,813,813,"100,00%"
04/05/2026,17:00:00,,1,1,0,353,353,"100,00%"
04/05/2026,17:45:00,,2,2,0,292,146,"100,00%"
04/05/2026,18:00:00,Pôle FA - CHANGHONG,1,1,0,444,444,"100,00%"
04/05/2026,18:00:00,Pôle Fa - ELICA,1,1,0,713,713,"100,00%"
04/05/2026,18:15:00,,1,1,0,348,348,"100,00%"
04/05/2026,18:15:00,Pôle FA - SALM AIRFORCE,1,1,0,16,16,"100,00%"
04/05/2026,18:45:00,,1,1,0,698,698,"100,00%"
04/05/2026,18:45:00,Pôle Fa - ELICA,2,2,0,453,227,"100,00%"
04/05/2026,19:00:00,,2,2,0,315,158,"100,00%"
04/05/2026,19:00:00,Pôle Fa - ELICA,3,3,0,692,231,"100,00%"
04/05/2026,19:00:00,Pôle FA - SALM AIRFORCE,1,1,0,210,210,"100,00%"
04/05/2026,19:15:00,,1,1,0,520,520,"100,00%"
04/05/2026,19:15:00,Pôle Fa - ELICA,5,5,0,308,62,"100,00%"
04/05/2026,19:15:00,Pôle FA - SALM AIRFORCE,1,1,0,513,513,"100,00%"
04/05/2026,19:30:00,Pôle FA - CHANGHONG,1,1,0,225,225,"100,00%"
04/05/2026,19:45:00,Pôle FA - SALM AIRFORCE,2,2,0,230,115,"100,00%"
04/05/2026,20:00:00,Pôle FA - SALM AIRFORCE,2,2,0,214,107,"100,00%"
04/05/2026,20:45:00,Pôle Fa - ELICA,1,1,0,45,45,"100,00%"
Total pour 04/05/2026,,,92,90,2,21915,238,"97,83%"
